"ExternalId","CreditLimit","CreditTerm"
"108001VNS1","75000000","Net 60"
"120001VN","0","null"
"120001 VN","0","null"
"150001VN","0","null"
"150002VN","0","null"
"150003VN","0","null"
"150004VN","0","null"
"150005VN","0","null"
"150006VN","0","null"
"150007VN","0","null"
"150008VN","0","null"
"150009VN","0","null"
"150010VN","0","null"
"150011VN","0","null"
"150012VN","0","null"
"150013VN","0","null"
"150014VN","0","null"
"150015VN","0","null"
"150016VN","0","null"
"150017VN","0","null"
"150018VN","0","null"
"150019VN","0","null"
"150020VN","0","null"
"150021VN","0","null"
"150022VN","0","null"
"150023VN","0","null"
"150024VN","0","null"
"150025VN","0","null"
"150026VN","0","null"
"150027VN","0","null"
"150028VN","0","null"
"150029VN","0","null"
"150030VN","0","null"
"150031VN","0","null"
"150032VN","0","null"
"150033VN","0","null"
"150034VN","0","null"
"150035VN","0","null"
"150036VN","0","null"
"150037VN","0","null"
"150038VN","0","null"
"150039VN","0","null"
"150040VN","0","null"
"150041VN","0","null"
"150042VN","0","null"
